"trade_time";"daily_open";"daily_close";"daily_high";"daily_low";"daily_return_percentage";"ma_1hour";"ma_12hour";"volume_intensity_percentage"
"2026-07-01 04:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.138333;4007.195694;87.46
"2026-07-01 04:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.291667;4006.821042;108.52
"2026-07-01 04:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.5425;4006.450972;102.02
"2026-07-01 04:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.220833;4006.084653;130.03
"2026-07-01 05:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3977.018333;4005.711389;143.31
"2026-07-01 05:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.82;4005.338958;117.54
"2026-07-01 05:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.430833;4004.935139;144.7
"2026-07-01 05:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3976.056667;4004.530486;121.1
"2026-07-01 05:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.8625;4004.15125;91.53
"2026-07-01 05:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.456667;4003.757153;88.72
"2026-07-01 05:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.4075;4003.384861;245.75
"2026-07-01 05:35:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.4825;4003.003264;170.41
"2026-07-01 05:40:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.503333;4002.609028;163.69
"2026-07-01 05:45:00";4006.06;4035.29;4116.25;3960.38;0.729645;3975.136667;4002.218194;123.28
"2026-07-01 05:50:00";4006.06;4035.29;4116.25;3960.38;0.729645;3974.6175;4001.822569;100.91
"2026-07-01 05:55:00";4006.06;4035.29;4116.25;3960.38;0.729645;3974.403333;4001.461667;124.14
"2026-07-01 06:00:00";4006.06;4035.29;4116.25;3960.38;0.729645;3974.505;4001.10125;141.78
"2026-07-01 06:05:00";4006.06;4035.29;4116.25;3960.38;0.729645;3973.988333;4000.717431;184.69
"2026-07-01 06:10:00";4006.06;4035.29;4116.25;3960.38;0.729645;3973.44;4000.316667;119.31
"2026-07-01 06:15:00";4006.06;4035.29;4116.25;3960.38;0.729645;3973.005833;3999.901181;94.26
"2026-07-01 06:20:00";4006.06;4035.29;4116.25;3960.38;0.729645;3972.561667;3999.523194;98.96
"2026-07-01 06:25:00";4006.06;4035.29;4116.25;3960.38;0.729645;3972.106667;3999.118889;61.3
"2026-07-01 06:30:00";4006.06;4035.29;4116.25;3960.38;0.729645;3971.093333;3998.684931;94.57
